0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1867,2010,2163,2007,2066,1506,2558,1283,2674,3711,116,3995,1913,1603,2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170
2010,2163,2007,2066,1506,2558,1283,2674,3711,116,3995,1913,1603,2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461
2163,2007,2066,1506,2558,1283,2674,3711,116,3995,1913,1603,2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119
2007,2066,1506,2558,1283,2674,3711,116,3995,1913,1603,2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656
2066,1506,2558,1283,2674,3711,116,3995,1913,1603,2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619
1506,2558,1283,2674,3711,116,3995,1913,1603,2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249
2558,1283,2674,3711,116,3995,1913,1603,2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742
1283,2674,3711,116,3995,1913,1603,2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603
2674,3711,116,3995,1913,1603,2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298
3711,116,3995,1913,1603,2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943
116,3995,1913,1603,2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394
3995,1913,1603,2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603
1913,1603,2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166
1603,2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693
2086,2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810
2972,1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251
1964,1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807
1403,2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545
2353,587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073
587,2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840
2622,3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114
3333,2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784
2679,2340,1150,1582,3396,2713,2418,2715,3868,2580,2966,2084,2793,1786,2136,2191,2923,2389,1823,3170,2461,3119,2656,2619,2249,742,3603,298,3943,1394,1603,2166,1693,2810,2251,1807,545,3073,1840,114,1784,2586
